球员姓名,位置,身高,体重,年龄,球龄,上场次数,场均时间,进攻能力,防守能力,是否入选过全明星,球员薪金
斯蒂芬-库里,得分后卫,1.91,86,29,7,79,33.38,31.933,4,是,3468
勒布朗-詹姆斯,大前锋,2.03,113,32,13,74,37.75,36.14,8,是,3329
保罗-米尔萨普,中锋,2.03,112,32,10,69,33.95,22.712,7,是,3127
戈登-海沃德,小前锋,2.03,103,27,6,73,34.45,25.382,5,是,2973
布雷克-格里芬,中锋,2.08,114,28,6,61,34.03,27.488,6,是,2951
凯尔-洛里,控球后卫,1.85,89,31,10,60,37.4,29.35,4,是,2870
拉塞尔-维斯布鲁克,控球后卫,1.91,91,28,8,81,34.58,42.95,9,是,2853
迈克-康利,控球后卫,1.85,79,29,9,69,33.2,26.785,4,是,2853
詹姆斯-哈登,得分后卫,1.96,100,28,7,81,36.38,41.288,7,是,2830
德玛尔-德罗赞,小前锋,2.01,99,28,7,74,35.4,31.219,5,是,2774
艾尔-霍弗德,中锋,2.08,111,31,9,68,32.25,19.956,6,是,2773
卡梅隆-安东尼,大前锋,2.03,109,33,13,74,34.28,25.298,5,是,2624
达米安-利拉德,控球后卫,1.91,88,27,4,75,35.9,32.857,4,是,2615
朱-霍勒迪,控球后卫,1.93,93,27,7,67,32.68,22.644,4,是,2569
凯文-杜兰特,大前锋,2.06,109,29,9,62,33.38,29.919,9,是,2500
奥托-波特,大前锋,2.03,93,24,3,80,32.55,15.952,5,是,2477
克里斯-保罗,控球后卫,1.83,79,32,11,61,31.48,27.33,5,是,2427
CJ-麦科勒姆,得分后卫,1.91,86,26,3,80,34.93,26.522,2,否,2396
安德烈-德拉蒙德,中锋,2.11,127,24,4,81,29.73,18.751,11,是,2378
哈桑-怀特塞德,中锋,2.13,120,28,4,77,32.63,20.74,12,否,2378
布拉德利-比尔,得分后卫,1.96,94,24,4,77,34.85,26.568,3,否,2378
安东尼-戴维斯,中锋,2.08,115,24,4,75,36.1,32.083,12,是,2378
德怀特-霍华德,中锋,2.11,120,31,12,74,29.7,18.945,9,是,2350
哈里森-巴恩斯,大前锋,2.03,102,25,4,79,35.48,21.701,3,否,2311
钱德勒-帕森斯,大前锋,2.08,104,28,5,34,19.83,7.798,2,否,2311
JJ-雷迪克,得分后卫,1.93,86,33,10,78,28.17,16.45,2,否,2300
布鲁克-洛佩兹,中锋,2.13,122,29,8,75,29.62,23.867,4,是,2265
德安德鲁-乔丹,中锋,2.11,120,29,8,81,31.72,16.885,11,是,2264
马克-加索尔,中锋,2.16,116,32,8,74,34.2,24.108,6,是,2264
凯文-勒夫,中锋,2.08,114,29,8,60,31.4,22.963,8,是,2264
吉亚尼斯-阿德托昆博,大前锋,2.11,101,22,3,80,35.55,29.325,8,是,2247
斯蒂芬-亚当斯,中锋,2.13,116,24,3,80,29.87,15.385,5,是,2247
尼古拉斯-巴图姆,小前锋,2.03,91,28,8,77,33.98,21.042,6,否,2243
拉马库斯-阿尔德里奇,中锋,2.11,118,32,10,72,32.42,21.191,5,是,2146
鲁迪-戈贝尔,中锋,2.16,113,25,3,81,33.87,18.25,10,否,2122
维克托-奥拉迪波,得分后卫,1.93,95,25,3,67,33.17,18.557,4,否,2100
达尼罗-加里纳利,大前锋,2.08,102,29,7,63,33.87,20.313,4,否,2056
塞尔吉-伊巴卡,中锋,2.08,107,28,7,79,30.65,16.799,6,否,2006
乔治-希尔,得分后卫,1.91,85,31,8,49,31.5,21.083,3,否,2000
莱恩-安德森,中锋,2.08,109,29,8,72,29.38,15.544,3,否,1958
保罗-乔治,大前锋,2.06,100,27,6,75,35.85,27.017,6,是,1951
阿伦-克拉布,得分后卫,1.98,98,25,3,79,28.52,11.89,2,否,1933
杰夫-蒂格,控球后卫,1.88,84,29,7,82,32.4,23.083,4,是,1900
卡瓦伊-莱纳德,小前锋,2.01,104,26,5,74,33.43,30.024,5,是,1887
凯里-欧文,得分后卫,1.91,88,25,5,72,35.05,31.026,3,是,1887
约翰-沃尔,控球后卫,1.93,95,27,6,78,36.35,33.794,5,是,1806
德马库斯-考辛斯,中锋,2.11,122,27,6,72,34.23,33.581,10,是,1806
格雷格-门罗,中锋,2.11,120,27,6,81,22.5,16.049,5,否,1789
韦斯利-马修斯,小前锋,1.96,100,30,7,73,34.17,16.387,4,否,1788
克莱-汤普森,小前锋,2.01,98,27,5,78,33.95,24.381,3,是,1783
乔吉姆-诺阿,中锋,2.11,104,32,9,46,22.05,10.279,5,是,1777
肯塔维厄斯-考德威尔-波普,得分后卫,1.96,93,24,3,76,33.27,16.319,3,否,1775
吉米-巴特勒,小前锋,2.01,105,28,5,76,36.95,30.377,5,是,1755
罗尔-邓,大前锋,2.06,100,32,12,56,26.53,9.911,4,是,1719
埃文-特纳,小前锋,2.01,100,28,6,65,25.5,12.174,3,否,1713
俾斯麦-比永博,中锋,2.06,116,25,5,81,22.13,7.874,6,否,1700
戈兰-德拉季奇,得分后卫,1.91,86,31,8,73,33.68,26.128,3,否,1700
伊万-福尼尔,小前锋,2.01,93,24,4,68,32.83,20.131,2,否,1700
肯特-巴泽摩尔,小前锋,1.96,91,28,4,73,26.88,13.395,3,否,1691
伊安-马辛米,中锋,2.11,119,30,8,31,17.88,7.193,4,否,1666
蒂姆-哈达威二世,小前锋,1.98,93,25,3,79,27.25,16.774,2,否,1650
特里斯坦-汤普森,中锋,2.08,108,26,5,78,29.95,12.067,6,否,1640
德拉蒙德-格林,大前锋,2.01,104,27,4,76,32.5,18.223,9,是,1640
托拜厄斯-哈里斯,大前锋,2.06,107,25,5,82,31.28,17.842,4,否,1600
保罗-加索尔,中锋,2.13,113,37,15,64,25.42,15.724,7,是,1600
